시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
경상남도,김해시,김해유체어린이집,민간,정상,50962,경상남도 김해시 분성로194번길 25 김해유체어린이집,055-332-6042,--,8,261,2,7,86,28,35.22834284,128.8689279,운영,,2008-03-07,,,
경상남도,김해시,즐거운어린이집,가정,정상,50862,경상남도 김해시 진영읍 김해대로361번길 31 310동 104호(진영자이아파트),055-346-5393,055-346-5394,4,91,0,7,20,17,35.309063,128.72845,운영,,2008-04-10,,,
경상남도,김해시,노루와사슴어린이집,가정,정상,50954,"경상남도 김해시 함박로 101 306동 103호(외동, 내외대동한마음타운)",055-904-7893,055-904-7893,2,44,0,8,15,15,35.23255,128.865,운영,,2008-04-24,,,
경상남도,김해시,예쁜은아어린이집,가정,정상,50959,"경상남도 김해시 분성로 14 121동 102호(외동, 일동한신)",055-903-4200,055-903-4210,3,85,0,6,19,8,35.23160402,128.8480928,미운영,http://cafe.daum.net/euna-102,2008-04-21,,,
경상남도,김해시,행복한어린이집,민간,정상,50862,경상남도 김해시 진영읍 김해대로361번길 31 자이아파트  복리동 1층,055-724-2546,055-724-2541,3,86,0,6,28,18,35.309063,128.72845,운영,,2008-05-02,,,
경상남도,김해시,아이맘어린이집,가정,정상,50957,"경상남도 김해시 함박로 92 312동 105호(외동, 한국2차아파트)",055-908-4868,055-908-4888,4,69,0,7,16,16,35.23214,128.864,운영,,2008-06-11,,,
경상남도,김해시,북부어린이집,국공립,정상,50830,경상남도 김해시 두곡로 18-16 (삼계동),055-329-7700,055-329-7701,5,328,1,11,79,79,35.27240675,128.8663657,운영,,2008-06-30,,,
경상남도,김해시,중흥꼬꼬마어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 55 103동 103호(진영리, 중흥에스클래스진영1단지아파트)",055-346-7287,055-346-6222,3,62,0,6,19,17,35.3105057174,128.7348680088,운영,jjuccume@naver.com,2008-09-03,,,
경상남도,김해시,중흥까꿍어린이집,가정,정상,50862,경상남도 김해시 진영읍 장등로19번길 18 205동 105호,070-8937-1285,--,4,85,0,6,20,12,35.3085834,128.7329738,운영,,2008-10-21,,,
경상남도,김해시,대명어린이집,가정,정상,50897,"경상남도 김해시 삼계로 232 104동 101호 (삼계동, 현대분성마을아이파크1차아파트)",055-322-0080,055-724-1827,4,65,0,7,19,19,35.26674231,128.8686453,운영,,2008-10-21,,,
경상남도,김해시,다전어린이집,국공립,정상,50922,경상남도 김해시 분성로390번길 1 (동상동),055-333-8400,055-333-8415,4,130,1,10,49,48,35.23429011,128.8888073,운영,,2008-11-10,,,
경상남도,김해시,작은아이어린이집,가정,정상,50830,"경상남도 김해시 해반천로278번길 12-27 107동 103호(삼계동, 삼계이안아파트)",055-311-3394,055-311-3394,4,84,0,7,19,17,35.27480537,128.8682466,운영,,2008-11-14,,,
경상남도,김해시,진영금빛어린이집,가정,재개,50862,"경상남도 김해시 진영읍 장등로 53 105동 101호(진영리, 중흥에스클래스진영1단지아파트)",055-343-0770,--,4,60,0,6,19,18,35.31117,128.73512,미운영,,2008-11-14,,,
경상남도,김해시,느티나무어린이집,가정,정상,50954,"경상남도 김해시 함박로 101 307동 107호(외동, 내외대동한마음타운)",055-904-5399,055-904-5399,3,70,0,8,16,16,35.23255,128.865,미운영,,2008-11-24,,,
경상남도,김해시,진례어린이집,국공립,정상,50873,경상남도 김해시 진례면 송현로 77-20 ,055-342-0207,055-342-0260,5,233,1,10,88,52,35.24904368,128.757101,운영,해당없음,2008-12-03,,,
경상남도,김해시,금관어린이집,국공립,정상,50832,경상남도 김해시 삼계로 138 (삼계동),055-313-0700,055-313-0733,7,526,1,24,52,44,35.26292675,128.8783814,운영,,2008-12-05,,,
경상남도,김해시,고운아이어린이집,가정,재개,50898,"경상남도 김해시 삼계로 239 206동 104호(삼계동, 화정마을부영2차아파트)",010-3904-8544,055-338-8544,4,60,0,9,19,18,35.26509,128.8685,운영,khjin8544@naver.com,2008-12-30,,,
경상남도,김해시,정다운어린이집,가정,정상,50958,"경상남도 김해시 함박로 120 211동 101호(외동, 한국1차아파트)",055-903-9312,055-903-9312,3,82,0,6,15,11,35.23458681,128.8719334,운영,,2008-12-30,,,
경상남도,김해시,비발디동화속어린이집,민간,정상,50906,경상남도 김해시 가락로332번길 13 ,055-336-3112,055-336-3112,3,120,0,9,35,33,35.254845474899376,128.87209969516104,운영,,2008-12-29,,,
경상남도,김해시,율곡어린이집,국공립,정상,51013,경상남도 김해시 율하1로 7 율곡 2단지 관리동,055-328-5500,055-328-5363,3,96,1,8,35,27,35.17389375,128.806248,미운영,,2009-02-24,,,
경상남도,김해시,도담도담어린이집,가정,정상,50882,"경상남도 김해시 김해대로 1832 105동 104호(삼계동, 명지세인트빌아파트)",055-336-3600,055-336-3600,3,54,0,8,20,19,35.26357346,128.8630427,운영,,2009-02-25,,,
경상남도,김해시,명지세인트빌어린이집,가정,정상,50882,"경상남도 김해시 김해대로 1832 107동 103호(삼계동, 명지세인트빌아파트)",055-335-3144,055-335-3144,4,72,1,9,19,13,35.26357346,128.8630427,운영,cafe.daum.net/3353144,2009-02-25,,,
경상남도,김해시,황금나무어린이집,가정,정상,50842,경상남도 김해시 가야로463번길 14 203-105,010-6508-1352,055-313-1352,3,67,1,8,20,16,35.24050695,128.8878313,운영,,2009-02-23,,,
경상남도,김해시,동원예쁜꼬마어린이집,가정,정상,50838,"경상남도 김해시 활천로 181 503동 109호(어방동, 어방동원아파트)",055-336-2228,055-336-2228,4,55,0,4,19,7,35.24150342,128.9002204,운영,tnrgid617@hanmail.net,2009-03-06,,,
경상남도,김해시,예쁜어린이집,가정,정상,50955,경상남도 김해시 우암로43번길 4-2 ,055-332-5407,--,4,74,0,5,19,18,35.23471159,128.8604166,운영,,2009-03-11,,,
경상남도,김해시,연세어린이집,가정,정상,50945,"경상남도 김해시 내외중앙로 121 106동 104호(내동, 내외대우)",055-324-6731,0504-396-6731,4,85,0,5,19,1,35.24097381,128.8680815,운영,,2009-03-12,,,
경상남도,김해시,행복나눔어린이집,가정,정상,50908,"경상남도 김해시 가락로 242-15 2동 102호(구산동, 대동삼업)",055-312-3820,055-312-3820,4,90,0,8,20,20,35.2472494,128.8744533,운영,,2009-04-23,,,
경상남도,김해시,부영또래어린이집,민간,정상,50882,"경상남도 김해시 김해대로 1866 삼계동, 화정마을부영6차",070-7670-4154,055-904-4154,3,116,0,6,27,12,35.25999,128.86462,운영,,2009-05-19,,,
경상남도,김해시,이안딸기어린이집,가정,정상,50830,"경상남도 김해시 해반천로278번길 12-27 106동 101호(삼계동, 삼계이안아파트)",055-339-1666,--,4,85,0,3,19,11,35.27480537,128.8682466,운영,,2009-05-28,,,
경상남도,김해시,아이윌어린이집,민간,정상,50840,경상남도 김해시 활천로208번길 54 (어방동),055-335-4112,055-335-4113,7,405,2,9,129,41,35.23817007,128.8994947,운영,,2009-05-14,,,
경상남도,김해시,천사들세상어린이집,민간,정상,50898,"경상남도 김해시 삼계로 239 1439동 1층 2호(삼계동, 화정마을부영2차아파트)",055-333-7414,--,3,75,0,7,27,27,35.26509,128.8685,운영,http://m.cafe.naver.com/0102383/3945,2009-06-10,,,
경상남도,김해시,관동어린이집,국공립,정상,51005,경상남도 김해시 장유면 관동로27번길 111 ,055-333-3728,055-333-3729,6,500,1,12,84,69,35.17866474,128.8164978,운영,,2009-08-20,,,
경상남도,김해시,주촌어린이집,국공립,정상,50877,경상남도 김해시 주촌면 서부로1541번길 11 ,055-326-5700,055-326-5702,5,246,2,16,93,80,35.23549344,128.8206451,운영,,2009-09-01,,,
경상남도,김해시,토리자연어린이집,민간,정상,50897,경상남도 김해시 삼계로 248 부영7차 아파트 관리동 1층,055-339-7379,055-902-1878,5,100,0,8,29,29,35.25055728,128.8816895,운영,다음/카페/토리자연어린이집,2009-09-10,,,
경상남도,김해시,율하어린이집,국공립,정상,51017,경상남도 김해시 율하2로 178 주공12단지 관리동내,055-321-1631,055-321-1632,2,69,0,5,26,8,35.16955332,128.8211677,미운영,,2009-10-09,,,
경상남도,김해시,율현어린이집,국공립,정상,51017,경상남도 김해시 율하2로 164 주공13단지 관리동내 공립 율현어린이집,055-321-2515,055-321-2516,2,73,1,9,27,26,35.16813537,128.8175748,미운영,https://cafe.naver.com/dbfgus09,2009-10-09,,,
경상남도,김해시,유림어린이집,가정,정상,50954,"경상남도 김해시 함박로101번길 19 310동 101호(외동, 내외대동한마음타운)",055-325-0405,055-325-0405,4,80,0,6,16,16,35.23347777083021,128.86478543373857,운영,,2009-10-16,,,
경상남도,김해시,애플베베어린이집,가정,정상,50957,"경상남도 김해시 분성로 155 314동 104호(외동, 한국2차아파트)",055-903-2555,055-328-2533,3,69,0,7,16,16,35.23214,128.864,운영,cafe.daum.net/,2009-11-05,,,
경상남도,김해시,베베어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 31 309동 102호(진영리, 진영자이)",070-8717-4729,--,4,91,0,6,20,18,35.309063,128.72845,운영,,2009-11-19,,,
경상남도,김해시,동원키즈어린이집,가정,정상,50897,"경상남도 김해시 가야로 60 303동 101호(삼계동, 분성마을동원로얄듀크3단지아파트)",055-339-7977,055-339-7977,3,90,0,4,19,12,35.2695198495,128.8653651333,운영,,2009-12-01,,,
경상남도,김해시,대아어린이집,가정,정상,50825,"경상남도 김해시 분성로627번길 16-3 101동 101호(안동, 대아)",055-335-3252,051-980-5530,3,84,0,6,19,6,35.23748831,128.9158825,운영,,2009-12-01,,,
경상남도,김해시,내사랑어린이집,가정,정상,50836,"경상남도 김해시 인제로 167 102동 106호(어방동, 대우유토피아)",055-332-5848,055-332-5847,4,79,0,6,20,14,35.24255769077762,128.90117741930547,운영,,2009-12-10,,,
경상남도,김해시,가람휘어린이집,가정,정상,50897,"경상남도 김해시 가야로 58 311동 102호(삼계동, 분성마을동원로얄듀크3단지아파트)",055-902-8860,--,4,85,0,6,19,19,35.26953935,128.8653691,운영,,2009-12-16,,,
경상남도,김해시,나라찬어린이집,가정,정상,50898,"경상남도 김해시 삼계로 253 101동 103호(삼계동, 화정마을부영1차아파트)",055-328-2618,055-328-2618,3,52,0,9,19,19,35.266167,128.86559,운영,http://blog.naver.com/vs660620,2009-12-18,,,
경상남도,김해시,뿌리와새싹어린이집,가정,정상,50904,"경상남도 김해시 구산로5번길 71 206동 101호(구산동, 한일유앤아이)",055-334-3665,055-334-3665,4,55,0,6,17,17,35.25491797229831,128.8688097953998,운영,,2010-02-26,,,
경상남도,김해시,미소지움예꿈어린이집,가정,정상,50841,"경상남도 김해시 분성로499번길 9 107동 102호(어방동, 신성김해미소지움아파트)",055-328-1116,--,3,62,0,6,20,15,35.23478035,128.8987113,운영,,2010-03-11,,,
경상남도,김해시,행복한아이들어린이집,가정,정상,50897,"경상남도 김해시 삼계로 218 407동 101호(삼계동, 분성마을한솔솔파크4단지아파트)",055-331-3788,055-331-3788,4,73,0,7,20,20,35.26811,128.86984,운영,,2010-04-09,,,
경상남도,김해시,자담어린이집,가정,정상,50952,"경상남도 김해시 내외로 55 302동 104호(내동, 동아아파트)",055-326-2104,055-326-2104,5,100,0,6,20,13,35.23641994,128.8638042,운영,,2010-04-14,,,
경상남도,김해시,하버드어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 31 309동 103호(진영리 1610, 자이)",055-343-2279,055-343-2279,4,108,1,9,20,20,35.3085834,128.7329738,운영,,2010-04-20,,,
경상남도,김해시,아이꽃어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로19번길 18 205동 101호(진영리, 중흥S클래스아파트)",055-342-1696,055-342-1696,4,59,0,6,20,18,35.308556028534596,128.73257038563977,운영,,2010-04-21,,,
경상남도,김해시,코아루큰나무어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 34 410동 106호(진영리, 김해진영코아루)",055-346-0199,055-346-0199,4,85,0,8,19,17,35.311363,128.7319,운영,,2010-04-21,,,
경상남도,김해시,한일어린이집,가정,정상,50825,"경상남도 김해시 삼안로111번길 10 107동 106호(안동, 한일아파트)",055-312-0767,055-312-0767,4,58,0,6,20,15,35.23856153,128.9154496,운영,,2010-05-19,,,
경상남도,김해시,애플몬테소리어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 53 105동 107호(진영리, 중흥에스클래스진영1단지아파트)",055-346-6111,055-346-6111,3,54,0,6,18,15,35.31117,128.73512,운영,,2010-05-20,,,
경상남도,김해시,진영별하어린이집,가정,정상,50868,경상남도 김해시 진영읍 진영로 262-15 102동 104호 (장복아파트),055-343-7236,055-343-7236,4,90,0,5,20,9,35.30168354,128.7416486,운영,,2010-06-01,,,
경상남도,김해시,은가비어린이집,가정,정상,50866,경상남도 김해시 진영읍 김해대로332번길 37-9 101호,070-4086-6222,070-4086-6222,4,84,0,5,17,11,35.30584109,128.7241918,운영,,2010-07-09,,,
경상남도,김해시,숲속둥지어린이집,민간,정상,50872,경상남도 김해시 진례면 진례로 301 ,055-346-1223,055-345-5740,3,112,0,4,39,24,35.25435824,128.7469613,운영,,2010-07-13,,,
경상남도,김해시,리틀이솝어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 34 408동 104호(진영리, 김해진영코아루)",070-8740-3343,070-8740-0770,4,102,0,8,20,19,35.311363,128.7319,운영,,2010-07-27,,,
경상남도,김해시,아띠어린이집,가정,재개,50954,경상남도 김해시 우암로 36 외동 뜨란채 아파트 320동101호,055-333-5993,0504-189-2976,3,40,0,4,12,9,35.23364135862455,128.86119888776722,미운영,parksh2976,2010-08-19,,,
경상남도,김해시,진영휴먼시아어린이집,국공립,정상,50864,경상남도 김해시 진영읍 김해대로 462 진영휴먼시아 103동 1층 보육시설,055-342-2990,055-346-2990,4,155,3,11,49,43,35.3049437,128.7391746,운영,http://cafe.daum.net/humansia2990,2010-09-13,,,
경상남도,김해시,아리솔어린이집,가정,정상,50828,"경상남도 김해시 분성로727번길 16 101동 102호(지내동, 양지마을동원1차아파트)",055-902-5040,055-902-5040,3,84,0,5,19,7,35.23192113,128.9237386,미운영,,2010-11-11,,,
경상남도,김해시,크니크니어린이집,가정,정상,50953,"경상남도 김해시 함박로 121 202동 110호(외동, 덕산베스트타운)",055-326-7338,055-326-7338,4,50,0,7,15,15,35.23227414,128.8674999,미운영,,2011-01-07,,,
경상남도,김해시,진주빛어린이집,가정,정상,50891,경상남도 김해시 평전로 150 1층 (내동),055-325-7440,055-325-7440,6,121,0,11,20,19,35.24237885,128.8605405,운영,,2011-03-18,,,
경상남도,김해시,글로벌키즈하우스어린이집,민간,정상,50914,경상남도 김해시 구지로 206 글로벌키즈하우스 어린이집,055-331-0737,055-331-5074,7,224,1,19,84,70,35.2381604,128.8860182,운영,,2011-05-17,,,
경상남도,김해시,파란새싹어린이집,가정,정상,50836,"경상남도 김해시 인제로 167 101동 106호(어방동, 대우유토피아)",055-905-7624,055-905-7624,4,60,0,4,19,11,35.242958,128.89946,운영,,2011-06-02,,,
경상남도,김해시,크레용어린이집,가정,정상,50835,"경상남도 김해시 인제로 167-1 204동 101호(어방동, 화인아파트)",070-8841-0824,055-326-0827,4,69,0,7,16,16,35.24504074779672,128.90130130773767,운영,,2011-06-23,,,
경상남도,김해시,참사랑어린이집,가정,정상,50825,경상남도 김해시 삼안로111번길 12 103동 101호(안동 한일아파트),055-327-1085,--,3,53,0,5,19,11,35.23899554864281,128.91476423098604,운영,,2011-12-15,,,
경상남도,김해시,숲속해나어린이집,민간,정상,50867,경상남도 김해시 진영읍 진영로26번길 36 ,055-313-8747,055-343-8747,6,233,1,6,68,13,35.3021808273088,128.71821146604822,운영,,2012-02-02,,,
경상남도,김해시,우신찬솔나라어린이집,가정,정상,50835,경상남도 김해시 인제로169번길 27 우신그린피아아파트 301동 103호,055-322-3082,055-324-3082,4,100,1,7,20,20,35.2456624134308,128.903488891602,운영,,2012-03-20,,,
경상남도,김해시,맘스맘어린이집,가정,정상,50949,경상남도 김해시 경원로 19 현대아파트 303동 104호,055-334-6323,055-334-6323,5,99,0,7,20,20,35.2384136231973,128.862673560757,운영,,2012-03-30,,,
경상남도,김해시,푸르니어린이집,가정,정상,50898,경상남도 김해시 삼계로 251 부영5차아파트 101동 104호,055-312-5855,051-980-5604,4,92,0,8,20,14,35.2662202906668,128.866662970281,운영,,2012-04-03,,,
경상남도,김해시,동원사랑어린이집,가정,정상,50828,경상남도 김해시 분성로727번길 16 동원아파트 101동 103호,055-335-9877,055-335-9877,3,97,0,3,20,6,35.2311937102843,128.922393578611,운영,,2012-05-18,,,
경상남도,김해시,키즈스쿨어린이집,가정,정상,50953,경상남도 김해시 함박로119번길 6 덕산베스트타운 201동 107호,055-903-6633,055-903-6644,4,53,0,8,17,13,35.232168538867796,128.86795714584346,운영,,2012-05-31,,,
경상남도,김해시,웃음가득한햇볕어린이집,가정,정상,50841,경상남도 김해시 분성로499번길 9 101동 102호,055-908-6601,055-908-6601,4,59,0,5,20,11,35.23606094276637,128.8997234601943,운영,my681217@hanmail.net,2012-06-01,,,
경상남도,김해시,구산다솜어린이집,가정,정상,50904,경상남도 김해시 구산로5번길 57 105동 107호,055-331-5542,055-331-5542,4,64,0,7,15,13,35.253871514547484,128.8696363222993,운영,,2012-05-31,,,
경상남도,김해시,나영어린이집,가정,정상,50954,경상남도 김해시 함박로101번길 19 대동한마음아파트 303동 104호,055-339-4393,055-338-4393,3,66,0,4,17,13,35.233788275690024,128.86574873880284,운영,,2012-06-14,,,
경상남도,김해시,애기똥풀어린이집,가정,정상,50907,경상남도 김해시 가락로294번길 7 구산5주공아파트 501동 101호,055-312-6562,055-312-6562,4,45,0,0,15,0,35.25148264580079,128.87329916806314,운영,,2012-07-02,,,
경상남도,김해시,채린어린이집,가정,정상,50890,경상남도 김해시 금관대로1365번길 14-12 14-12,055-333-3232,055-333-3230,4,99,0,4,18,18,35.24541808813083,128.86545252680222,운영,,2012-07-16,,,
경상남도,김해시,언더우드어린이집,민간,정상,50858,경상남도 김해시 진영읍 본산로125번길 10 ..,055-346-2221,055-346-2251,9,369,2,17,139,136,35.31572774621743,128.74069528531154,운영,,2012-09-07,,,
경상남도,김해시,꼬마한결어린이집,가정,정상,50835,"경상남도 김해시 인제로 167-1 203동 108호(어방동, 화인아파트)",055-902-7578,055-902-7578,3,73,0,7,17,13,35.245907737347714,128.90146985466282,운영,,2012-09-18,,,
경상남도,김해시,꿈꾸는별어린이집,가정,정상,50907,"경상남도 김해시 가락로294번길 18 308동 101호(구산동, 구산3주공)",055-312-8002,055-312-8002,3,63,1,5,20,12,35.25030394044137,128.87406526735091,운영,,2012-09-17,,,
경상남도,김해시,한스어린이집,가정,정상,50862,경상남도 김해시 장등로 53 112동 105호,055-342-1661,055-342-1661,4,83,0,6,19,9,35.31116778665429,128.7351216308867,운영,,2012-10-19,,,
경상남도,김해시,아이생각어린이집,가정,정상,50831,경상남도 김해시 가야로 19 513동 103호,055-332-8807,055-332-8807,4,94,0,7,20,17,35.27029084939581,128.86239602877907,운영,,2012-11-09,,,
경상남도,김해시,햇살마루어린이집,가정,정상,50959,경상남도 김해시 분성로 14 일동한신아파트 116동 104호,055-908-0406,055-908-0406,4,64,0,6,20,20,35.22916544404642,128.8489267789625,운영,,2013-01-29,,,
경상남도,김해시,흰여울어린이집,가정,정상,50815,"경상남도 김해시 삼안로 264 102동 102호(삼방동, 화인아파트)",055-321-6629,055-337-6629,4,84,0,6,19,15,35.25130566896779,128.90954873454862,운영,,2013-02-21,,,
경상남도,김해시,서광아이어린이집,가정,정상,50953,경상남도 김해시 함박로 149 서광아파트 202동 105호,055-312-3408,--,4,45,0,5,13,8,35.23222168182041,128.8696273800499,미운영,,2013-03-22,,,
경상남도,김해시,책나무어린이집,가정,정상,50897,경상남도 김해시 가야로 58 304동 103호(동원로얄듀크),055-902-1117,--,4,94,0,6,20,20,35.270220864548,128.86693929760668,운영,,2013-05-03,,,
경상남도,김해시,명문버클리어린이집,민간,정상,50825,경상남도 김해시 삼안로77번길 14-3 (안동),055-331-3111,055-331-3166,9,446,2,16,99,82,35.23704303209282,128.9158664506137,운영,,2013-05-09,,,
경상남도,김해시,버클리어린이집,가정,정상,50868,경상남도 김해시 진영읍 진영로 235-2 1층,055-342-1212,055-342-1212,3,48,0,5,14,13,35.302469008102854,128.738919950063,운영,버클리어린이집,2013-07-08,,,
경상남도,김해시,미라주어린이집,가정,정상,50884,경상남도 김해시 김해대로1902번길 30 104동 104호(일동미라주),055-339-7942,055-339-7941,4,65,0,8,20,18,35.25394689117394,128.86586511293842,운영,,2013-07-22,,,
경상남도,김해시,리베어린이집,가정,정상,50884,경상남도 김해시 김해대로1902번길 30 101동 104호(구산동 일동미라주),055-908-9086,--,4,64,0,7,20,17,35.25394689117394,128.86586511293842,운영,,2013-09-23,,,
경상남도,김해시,아이랜드어린이집,가정,정상,50884,"경상남도 김해시 김해대로1902번길 88 107동 103호(구산동, 이진캐스빌1단지)",055-311-1279,070-7377-1270,3,62,0,7,20,13,35.249954202935896,128.86764558872474,운영,,2013-11-20,,,
경상남도,김해시,행복누리어린이집,가정,정상,50884,"경상남도 김해시 김해대로1902번길 62 204동 101호(구산동 1076, 이진캐스빌2단지)",055-903-8160,055-903-8160,3,61,0,7,20,18,35.25116219904807,128.86656810792502,운영,,2013-11-29,,,
경상남도,김해시,샤론어린이집,가정,정상,50884,"경상남도 김해시 김해대로1902번길 88 105동 101호(구산동 1077, 이진캐스빌1단지)",055-336-2229,--,3,59,0,8,20,18,35.249954202935896,128.86764558872474,운영,,2013-11-29,,,
경상남도,김해시,링컨어린이집,민간,정상,50896,경상남도 김해시 삼계중앙로13번길 93 ,055-331-1351,--,10,351,1,17,108,106,35.26722284766758,128.86260936326082,운영,,2014-01-29,,,
경상남도,김해시,굿모닝어린이집,민간,정상,50884,경상남도 김해시 김해대로 1938-13 ,055-334-6223,--,7,342,2,23,129,105,35.253889755884074,128.8667646887673,운영,,2014-02-25,,,
경상남도,김해시,가람슬기어린이집,민간,정상,50883,"경상남도 김해시 김해대로 1868 107동 101호(삼계동, 양우내안애아파트)",055-338-7364,055-338-7364,4,95,0,6,22,11,35.25805488662761,128.86338394530875,운영,,2014-03-26,,,
경상남도,김해시,현대사과나무어린이집,가정,정상,50883,"경상남도 김해시 김해대로 1870 101동 102호(삼계동, 삼계아이파크아파트)",055-311-0711,055-311-0711,4,75,0,4,19,8,35.25933590188245,128.8647009710714,운영,iparkapple.naver.com,2014-04-02,,,
경상남도,김해시,숲속미라주어린이집,민간,정상,50884,경상남도 김해시 김해대로1902번길 30 일동미라주 207동,055-337-7060,055-337-7065,7,150,1,10,49,34,35.25394689117394,128.86586511293842,운영,,2014-05-12,,,
경상남도,김해시,아이리스창어린이집,민간,정상,50884,경상남도 김해시 김해대로1902번길 88 이진캐스빌 P-101(관리동 내),055-331-2714,055-331-2714,4,112,0,9,41,30,35.24980643118083,128.86694349812868,운영,,2014-05-27,,,
경상남도,김해시,아기천사어린이집,민간,정상,50867,경상남도 김해시 진영읍 진영로26번길 20 ,010-2036-8790,070-8200-0013,3,75,0,10,22,22,35.30333545827048,128.71746847788071,미운영,,2014-06-03,,,
경상남도,김해시,에코푸름어린이집,민간,정상,50884,경상남도 김해시 김해대로1902번길 62 201동(관리동),055-314-2263,--,5,147,0,13,45,40,35.25042690511077,128.8669137841006,운영,,2014-07-31,,,
경상남도,김해시,진영명성어린이집,민간,정상,50869,경상남도 김해시 진영읍 진영로454번길 46 진영명성어린이집,055-342-1217,055-342-1218,8,229,1,8,80,53,35.29417570894276,128.7578490107969,운영,dhqxmdhqxm@hanmail.net,2015-02-26,,,
경상남도,김해시,부원푸르지오어린이집,민간,정상,50940,경상남도 김해시 김해대로 2326 1층 관리동,055-327-5521,055-327-5521,6,131,0,17,47,41,35.224853370258806,128.88398747691048,운영,,2015-03-03,,,
경상남도,김해시,아이유어린이집,민간,정상,50858,경상남도 김해시 진영읍 장등로 94 중흥S-클래스 리버티A  관리동 1층,055-343-3121,055-343-3121,5,133,0,9,45,39,35.31413676562705,128.7327861830542,운영,,2015-07-27,,,
경상남도,김해시,리버티도담어린이집,가정,정상,50858,경상남도 김해시 진영읍 장등로 94 중흥S클래스 3단지 리버티 313동 103호,070-8638-8188,070-8638-8188,5,66,0,8,20,19,37.566470,126.977963,운영,,2015-10-08,,,
경상남도,김해시,가온누리어린이집,가정,정상,50858,경상남도 김해시 진영읍 장등로 94 중흥S클래스 3단지 리버티 310동 103호,055-346-6160,055-346-6160,4,71,0,8,20,18,37.566470,126.977963,운영,nandjlove@naver.com,2015-10-08,,,
경상남도,김해시,바른나무어린이집,민간,정상,50867,경상남도 김해시 진영읍 진영산복로 20 동문굿모닝힐 1차 부4동 1층,055-346-5850,--,5,124,0,10,47,35,37.566470,126.977963,운영,,2016-04-29,,,
경상남도,김해시,진영도담도담어린이집,가정,정상,50867,경상남도 김해시 진영읍 진영산복로 20 101동 105호,055-346-6226,055-346-6220,3,62,0,7,20,18,35.303114966533784,128.7206480452544,운영,,2016-07-11,,,
경상남도,김해시,산들숲어린이집,민간,정상,50863,경상남도 김해시 진영읍 김해대로 463 진영휴먼시아6단지,055-345-1008,055-345-1009,7,258,2,12,95,63,35.307330081495394,128.74299998732172,운영,www.cafe.naver.com/3451008,2017-06-28,,,
경상남도,김해시,빛솔어린이집,가정,정상,50861,경상남도 김해시 진영읍 진산대로 61 206동 102호(이진캐스빌아파트),055-345-4550,055-345-4550,4,67,0,7,20,20,35.3096728445879,128.72417042302155,미운영,,2017-08-02,,,
경상남도,김해시,사랑나무어린이집,가정,정상,50861,경상남도 김해시 진영읍 진산대로 61 208동 102호,055-342-3047,--,3,70,0,7,20,20,35.31143061013479,128.72461452989344,운영,,2017-08-02,,,
경상남도,김해시,하늘빛어린이집,민간,정상,50858,경상남도 김해시 진영읍 장등1로31번길 7 진영휴먼빌아파트 관리동,055-345-9355,055-345-6990,6,217,0,12,49,46,37.566470,126.977963,운영,,2017-09-06,,,
경상남도,김해시,올바른어린이집,민간,정상,50863,경상남도 김해시 진영읍 김해대로 461 센텀큐브(관리동),055-343-1244,055-343-1248,4,349,1,12,81,57,35.3073295943,128.7396550851,운영,,2018-02-06,,,
경상남도,김해시,진영천년나무어린이집,국공립,정상,50864,경상남도 김해시 진영읍 김해대로 464-48 LH천년나무 아파트 2단지 관리동,055-346-3468,055-346-3469,4,243,0,11,43,39,35.3038842817,128.7395945043,운영,,2018-02-14,,,
경상남도,김해시,아이편한어린이집,민간,정상,50940,경상남도 김해시 김해대로2324번길 54-27 봉황역 e편한세상 104동 1층,055-908-5505,--,9,146,1,14,55,52,35.2252914964,128.8766700709,운영,,2018-02-23,,,
경상남도,김해시,협성휴포레어린이집,민간,정상,50868,경상남도 김해시 진영읍 진영로 284 관리동,055-274-5063,070-7357-5063,5,233,1,14,54,53,35.3016778398,128.7438697621,운영,,2018-02-28,,,
경상남도,김해시,이진아이사랑어린이집,민간,정상,50861,경상남도 김해시 진영읍 진산대로 61 이진캐스빌209동 1층,055-345-1501,--,7,147,0,14,47,45,35.3113294518,128.7256722486,운영,,2018-02-28,,,
경상남도,김해시,아이빛나라어린이집,가정,정상,50898,경상남도 김해시 해반천로168번길 7 관리동1층,055-903-1117,--,3,75,0,6,20,10,35.2640890267,128.8685369536,미운영,,2018-05-15,,,
경상남도,김해시,정어린이집,국공립,정상,51006,경상남도 김해시 금관대로910번길 53-46 ,055-323-3077,055-323-4045,7,504,1,13,99,92,35.2130064045,128.8490403788,운영,,2018-07-01,,,
